,week_start,iso_code,location,average_weekly_percent_population_vaccinated,total_weekly_icu_patients_per_million,total_weekly_new_cases_per_ten_million,total_weekly_new_deaths_per_million,total_weekly_new_vaccinatons_per_thousand
68,2020-03-16,GBR,United Kingdom,0.0,0.0,8.080300000000001,6.354,0.0
69,2020-03-16,NZL,New Zealand,0.0,0.0,1.1185,0.0,0.0
70,2020-03-16,OWID_EUN,European Union,0.0,0.0,23.6689,16.825,0.0
71,2020-03-16,USA,United States,0.0,0.0,8.1249,0.901,0.0
72,2020-03-23,DEU,Germany,0.0,67.759,40.7593,17.5,0.0
73,2020-03-23,FRA,France,0.0,345.878,0.0,30.932,0.0
74,2020-03-23,GBR,United Kingdom,0.0,0.0,23.7688,29.698999999999998,0.0
75,2020-03-23,NZL,New Zealand,0.0,0.0,7.907,0.193,0.0
76,2020-03-23,OWID_EUN,European Union,0.0,0.0,38.254000000000005,36.509,0.0
77,2020-03-23,USA,United States,0.0,0.0,28.0512,5.121,0.0
78,2020-03-30,DEU,Germany,0.0,168.06,43.261399999999995,27.264,0.0
79,2020-03-30,FRA,France,0.0,633.138,0.0,50.691,0.0
80,2020-03-30,GBR,United Kingdom,0.0,129.035,42.6878,83.277,0.0
81,2020-03-30,NZL,New Zealand,0.0,0.0,7.6371,0.0,0.0
82,2020-03-30,OWID_EUN,European Union,0.0,0.0,34.655499999999996,45.827,0.0
83,2020-03-30,USA,United States,0.0,0.0,52.0711,19.634999999999998,0.0
84,2020-04-06,DEU,Germany,0.0,223.043,32.5597,22.526,0.0
85,2020-04-06,FRA,France,0.0,711.501,0.0,51.743,0.0
86,2020-04-06,GBR,United Kingdom,0.0,314.639,48.3344,132.93,0.0
87,2020-04-06,NZL,New Zealand,0.0,0.0,3.4135,0.579,0.0
88,2020-04-06,OWID_EUN,European Union,0.0,0.0,29.044800000000002,42.341,0.0
89,2020-04-06,USA,United States,0.0,0.0,64.7884,41.056,0.0
90,2020-04-13,DEU,Germany,0.0,236.226,20.8049,14.706,0.0
91,2020-04-13,FRA,France,0.0,634.952,0.0,42.243,0.0
92,2020-04-13,GBR,United Kingdom,0.0,333.971,45.874,134.53,0.0
93,2020-04-13,NZL,New Zealand,0.0,0.0,0.945,1.35,0.0
94,2020-04-13,OWID_EUN,European Union,0.0,0.0,22.6873,35.435,0.0
95,2020-04-13,USA,United States,0.0,0.0,57.9828,46.995000000000005,0.0
96,2020-04-20,DEU,Germany,0.0,227.41,14.814699999999998,8.72,0.0
97,2020-04-20,FRA,France,0.0,516.656,0.0,32.432,0.0
98,2020-04-20,GBR,United Kingdom,0.0,295.98900000000003,49.632,113.956,0.0
99,2020-04-20,NZL,New Zealand,0.0,0.0,0.4437,1.351,0.0
100,2020-04-20,OWID_EUN,European Union,0.0,0.0,17.5074,26.985,0.0
101,2020-04-20,USA,United States,0.0,0.0,60.6476,44.043,0.0
102,2020-04-27,DEU,Germany,0.0,187.273,8.9265,4.654,0.0
103,2020-04-27,FRA,France,0.0,417.972,0.0,21.756,0.0
104,2020-04-27,GBR,United Kingdom,0.0,230.755,47.1804,86.803,0.0
105,2020-04-27,NZL,New Zealand,0.0,0.0,0.2895,0.386,0.0
106,2020-04-27,OWID_EUN,European Union,0.0,0.0,11.538599999999999,18.716,0.0
107,2020-04-27,USA,United States,0.0,0.0,58.6586,40.307,0.0
108,2020-05-04,DEU,Germany,0.0,148.052,7.4883,3.095,0.0
109,2020-05-04,FRA,France,0.0,314.57,0.0,16.34,0.0
110,2020-05-04,GBR,United Kingdom,0.0,178.673,35.5908,66.776,0.0
111,2020-05-04,NZL,New Zealand,0.0,0.0,0.1544,0.193,0.0
112,2020-05-04,OWID_EUN,European Union,0.0,0.0,9.2052,13.825,0.0
113,2020-05-04,USA,United States,0.0,0.0,53.8727,37.713,0.0
114,2020-05-11,DEU,Germany,0.0,111.93599999999999,5.7275,1.979,0.0
115,2020-05-11,FRA,France,0.0,237.46200000000002,1.0476,12.534,0.0
116,2020-05-11,GBR,United Kingdom,0.0,138.085,29.654,47.993,0.0
117,2020-05-11,NZL,New Zealand,0.0,0.0,0.0965,0.0,0.0
118,2020-05-11,OWID_EUN,European Union,0.0,0.0,7.6891,10.08,0.0
119,2020-05-11,USA,United States,0.0,0.0,49.9666,29.945999999999998,0.0
120,2020-05-18,DEU,Germany,0.0,84.455,4.3229,1.331,0.0
121,2020-05-18,FRA,France,0.0,179.671,6.7155000000000005,8.696,0.0
122,2020-05-18,GBR,United Kingdom,0.0,104.681,25.0426,38.055,0.0
123,2020-05-18,NZL,New Zealand,0.0,0.0,0.0964,0.0,0.0
124,2020-05-18,OWID_EUN,European Union,0.0,0.0,7.0826,7.226,0.0
125,2020-05-18,USA,United States,0.0,0.0,49.1665,25.297,0.0
126,2020-05-25,DEU,Germany,0.0,63.787,3.8455,0.78,0.0
127,2020-05-25,FRA,France,0.0,145.414,5.3167,7.288,0.0
128,2020-05-25,GBR,United Kingdom,0.0,79.187,17.3502,29.121,0.0
