,week_start,indicator,European Union,France,Germany,New Zealand,United Kingdom,United States
103,2020-05-18,Deaths per million,7.226,8.696,1.331,0.0,38.055,25.297
106,2020-05-25,ICU patients per million,0.0,145.414,63.787,0.0,79.187,0.0
107,2020-05-25,New cases per ten million,6.2231,5.3167,3.8455,0.0,17.3502,43.2871
108,2020-05-25,Deaths per million,5.284,7.288,0.78,0.193,29.121,20.131
111,2020-06-01,ICU patients per million,0.0,116.821,52.105,0.0,60.288,0.0
112,2020-06-01,New cases per ten million,5.6997,4.2475000000000005,2.8236,0.0,13.1598,44.2755
113,2020-06-01,Deaths per million,4.195,5.122,0.528,0.0,20.976,17.697
116,2020-06-08,ICU patients per million,0.0,91.944,40.087,0.0,44.512,0.0
117,2020-06-08,New cases per ten million,5.8872,4.0649,2.8164000000000002,0.0,10.446000000000002,44.8953
118,2020-06-08,Deaths per million,3.442,3.992,0.42,0.0,15.316,15.875
121,2020-06-15,ICU patients per million,0.0,75.959,33.046,0.0,36.409,0.0
122,2020-06-15,New cases per ten million,6.3223,3.5078000000000005,5.0282,0.0965,10.209,53.215
123,2020-06-15,Deaths per million,2.715,2.46,0.492,0.0,11.051,13.17
126,2020-06-22,ICU patients per million,0.0,64.499,29.902,0.0,30.38,0.0
127,2020-06-22,New cases per ten million,6.2188,3.1318,3.7987,0.3279,7.8064,76.3482
128,2020-06-22,Deaths per million,1.7040000000000002,1.718,0.252,0.0,9.406,17.977
131,2020-06-29,ICU patients per million,0.0,56.553,27.130000000000003,0.0,25.301000000000002,0.0
132,2020-06-29,New cases per ten million,5.7274,3.596,3.2278,0.1351,6.3326,101.1459
133,2020-06-29,Deaths per million,1.8010000000000002,1.547,0.312,0.0,6.755,13.158
136,2020-07-06,ICU patients per million,0.0,50.653999999999996,23.582,0.0,19.212,0.0
137,2020-07-06,New cases per ten million,6.132300000000001,4.4146,2.9135,0.2123,6.3444,115.9376
138,2020-07-06,Deaths per million,1.484,1.857,0.3,0.0,5.229,16.345
141,2020-07-13,ICU patients per million,0.0,47.114,21.269,0.0,15.004,150.676
142,2020-07-13,New cases per ten million,7.995,5.4312,3.6512000000000002,0.1737,6.4289000000000005,137.8307
143,2020-07-13,Deaths per million,1.357,1.455,0.372,0.0,3.748,19.705
146,2020-07-20,ICU patients per million,0.0,41.629999999999995,20.837,0.0,11.495,264.814
147,2020-07-20,New cases per ten million,10.7487,8.611,4.7211,0.05790000000000001,7.3605,138.3137
